seed,task,sample_id,gid,tok_per_round,n_rounds,i_always,acc_always,tok_always,i_consensus,acc_consensus,tok_consensus,i_oracle,acc_oracle,tok_oracle,i_fixed_k1,acc_fixed_k1,tok_fixed_k1,i_fixed_k2,acc_fixed_k2,tok_fixed_k2,i_fixed_k3,acc_fixed_k3,tok_fixed_k3,i_fixed_k4,acc_fixed_k4,tok_fixed_k4,i_fixed_k5,acc_fixed_k5,tok_fixed_k5,i_unc<q10,acc_unc<q10,tok_unc<q10,i_unc<q20,acc_unc<q20,tok_unc<q20,i_unc<q30,acc_unc<q30,tok_unc<q30,i_unc<q40,acc_unc<q40,tok_unc<q40,i_unc<q50,acc_unc<q50,tok_unc<q50
1,gsm8k,233,gsm8k_233,660.1666666666666,6,5,True,3961.0,0,True,660.1666666666666,0,True,660.1666666666666,0,True,660.1666666666666,1,True,1320.3333333333333,2,True,1980.5,3,True,2640.6666666666665,4,True,3300.833333333333,5,True,3961.0,5,True,3961.0,1,True,1320.3333333333333,0,True,660.1666666666666,0,True,660.1666666666666
1,gsm8k,256,gsm8k_256,906.3333333333334,6,5,True,5438.0,5,True,5438.0,0,True,906.3333333333334,0,True,906.3333333333334,1,True,1812.6666666666667,2,True,2719.0,3,True,3625.3333333333335,4,True,4531.666666666667,5,True,5438.0,5,True,5438.0,5,True,5438.0,5,True,5438.0,5,True,5438.0
1,gsm8k,299,gsm8k_299,729.5,6,5,True,4377.0,5,True,4377.0,0,True,729.5,0,True,729.5,1,False,1459.0,2,True,2188.5,3,False,2918.0,4,True,3647.5,5,True,4377.0,5,True,4377.0,5,True,4377.0,5,True,4377.0,5,True,4377.0
1,gsm8k,326,gsm8k_326,698.0,6,5,False,4188.0,5,False,4188.0,1,True,1396.0,0,False,698.0,1,True,1396.0,2,False,2094.0,3,False,2792.0,4,False,3490.0,5,False,4188.0,5,False,4188.0,5,False,4188.0,5,False,4188.0,5,False,4188.0
1,gsm8k,354,gsm8k_354,597.1666666666666,6,5,True,3583.0,5,True,3583.0,0,True,597.1666666666666,0,True,597.1666666666666,1,True,1194.3333333333333,2,True,1791.5,3,True,2388.6666666666665,4,True,2985.833333333333,5,True,3583.0,5,True,3583.0,5,True,3583.0,0,True,597.1666666666666,0,True,597.1666666666666
1,gsm8k,370,gsm8k_370,740.1666666666666,6,5,True,4441.0,0,True,740.1666666666666,0,True,740.1666666666666,0,True,740.1666666666666,1,True,1480.3333333333333,2,True,2220.5,3,True,2960.6666666666665,4,True,3700.833333333333,5,True,4441.0,5,True,4441.0,0,True,740.1666666666666,0,True,740.1666666666666,0,True,740.1666666666666
1,gsm8k,380,gsm8k_380,661.3333333333334,6,5,False,3968.0,5,False,3968.0,5,False,3968.0,0,False,661.3333333333334,1,False,1322.6666666666667,2,False,1984.0,3,False,2645.3333333333335,4,False,3306.666666666667,5,False,3968.0,5,False,3968.0,5,False,3968.0,5,False,3968.0,5,False,3968.0
1,gsm8k,388,gsm8k_388,548.6666666666666,6,5,True,3292.0,0,True,548.6666666666666,0,True,548.6666666666666,0,True,548.6666666666666,1,True,1097.3333333333333,2,True,1646.0,3,True,2194.6666666666665,4,True,2743.333333333333,2,True,1646.0,2,True,1646.0,2,True,1646.0,2,True,1646.0,0,True,548.6666666666666
1,gsm8k,408,gsm8k_408,884.5,6,5,True,5307.0,4,True,4422.5,0,True,884.5,0,True,884.5,1,True,1769.0,2,True,2653.5,3,True,3538.0,4,True,4422.5,5,True,5307.0,5,True,5307.0,5,True,5307.0,5,True,5307.0,0,True,884.5
1,gsm8k,411,gsm8k_411,858.8333333333334,6,5,True,5153.0,3,True,3435.3333333333335,1,True,1717.6666666666667,0,False,858.8333333333334,1,True,1717.6666666666667,2,True,2576.5,3,True,3435.3333333333335,4,True,4294.166666666667,5,True,5153.0,5,True,5153.0,5,True,5153.0,5,True,5153.0,3,True,3435.3333333333335
